"CODI","NOM","ADREÇA","X_ETRS89","Y_ETRS89","LATITUD","LONGITUD"
"01-001","01-001. Font d'Emili Vendrell","Plaça Emili Vendrell - Joaquim Costa, 7","430338.261615725","4581431.292295410","41.381390855","2.166877623"
"01-002","01-002. Font del Vell","Plaça de la Mercè","431375.581200040","4581165.204028240","41.379083419","2.179312390"
"01-003","01-003. Font del Geni Català","Pla de Palau - Passeig de Colom, 1","431729.254868593","4581576.131979450","41.382814619","2.183495308"
"01-005","01-005. Font del Doctor Fleming","Jardins del Doctor Fleming - Carme, 43","430563.422121378","4581451.930621060","41.381596202","2.169567803"
"01-006","01-006. Plaça Sant Felip Neri","Plaça Sant Felip Neri","431027.514322100","4581647.007403820","41.383393119","2.175095391"
"01-007","01-007. Monument a l'Almirall Galceran Marquet","Plaça Duc de Medinaceli","431345.870514866","4581081.054124130","41.378322970","2.178966644"
"01-008","01-008. Gerro dels Nens - Parc de la Ciutadella","Parc de la Ciutadella - Hivernacle","431777.759431409","4582166.732516530","41.388138107","2.184008852"
"01-009","01-009. Dama del Paraigües - Parc de la Ciutadella","Parc de la Ciutadella - Zoo","432227.227917862","4581876.248667800","41.385559793","2.189416824"
"01-010","01-010. Gran Llac - Parc de la Ciutadella","Parc de la Ciutadella","432031.160003304","4582190.500633870","41.388373631","2.187036760"
"01-012","01-012. Gran Cascada - Parc de la Ciutadella","Parc de la Ciutadella","431990.610877432","4582313.751129450","41.389480287","2.186537968"
"01-013","01-013. Font de les Tres Gràcies","Plaça Reial","431038.241555457","4581280.686761220","41.380094697","2.175265364"
"01-014","01-014. Monument a Picasso","Passeig Picasso","431841.698230387","4581995.701770600","41.386603102","2.184792778"
"01-015","01-015. Jardins de Rubió i Lluch - Biblioteca Cat","Jardins de Rubió i Lluch - Hospital, 56","430582.701751126","4581399.270394340","41.381123571","2.169804388"
"01-016","01-016. La Cigonya i la Guineu - Parc Ciutadella","Parc de la Ciutadella - Jardins de Fonseré i Mestre","431913.978130973","4581967.931180660","41.386359101","2.185660319"
"01-017","01-017. Monument del Centenari - Parc Ciutadella","Parc de la Ciutadella - Passeig Joaquim Renart","431820.490295569","4582271.752353530","41.389087614","2.184508077"
"01-018","01-018. Parc de les Cascades","Avinguda del Litoral","432603.498890515","4581927.865897350","41.386056308","2.193910970"
"01-019","01-019. Font dels Tres Dragons - Parc de la Ciutad","Parc de la Ciutadella - Museu de Zoologia","431755.699726195","4582210.002749770","41.388525958","2.183740152"
